Word,freqfilms2,freqlivres,cgram
absent,0.82,2.16,NOM
absent,9.46,18.18,ADJ
absentéisme,0.14,0.20,NOM
absentéiste,0.01,0.00,ADJ
absentéiste,0.01,0.00,NOM
absenter,2.90,1.49,VER
abside,0.00,1.55,NOM
absidiole,0.00,0.07,NOM
absinthe,1.28,2.91,NOM
absolu,0.74,7.03,NOM
absolu,8.55,16.42,ADJ
absolument,89.79,63.45,ADV
absolution,1.06,2.50,NOM
absolutisme,0.12,0.68,NOM
absolvant,0.00,0.14,ADJ
absorbant,0.01,0.14,NOM
absorbant,0.08,0.81,ADJ
absorbé,0.18,2.30,ADJ
absorber,1.86,4.53,VER
absorbeur,0.03,0.00,NOM
absorption,0.58,1.89,NOM
absoudre,1.08,1.55,VER
absous,0.02,0.68,ADJ
absoute,0.00,0.07,ADJ
absoute,0.00,0.14,NOM
abstenir,1.80,2.77,VER
abstention,0.14,1.28,NOM
abstentionniste,0.01,0.00,NOM
abstinence,1.60,1.42,NOM
abstinent,0.10,0.00,ADJ
abstraction,0.66,2.09,NOM
abstraire,0.02,0.74,VER
abstrait,0.49,0.95,NOM
abstrait,0.61,3.85,ADJ
abstraitement,0.00,0.34,ADV
abstrus,0.00,0.34,ADJ
absurde,2.67,4.73,NOM
absurde,21.56,24.80,ADJ
absurdement,0.14,3.72,ADV
absurdité,1.44,5.54,NOM
abusé,0.10,0.41,ADJ
abuser,5.87,4.12,VER
abuseur,0.04,0.00,NOM
abusif,0.37,0.61,ADJ
abusivement,0.16,1.15,ADV
abyme,0.04,0.07,NOM
abyssal,0.03,0.34,ADJ
abysse,0.53,0.07,NOM
abyssin,0.00,0.14,ADJ
abyssin,0.14,0.14,NOM
abyssinien,0.10,0.00,ADJ
acabit,0.17,1.55,NOM
acacia,0.05,3.24,NOM
académicien,0.14,0.74,NOM
académie,9.91,8.31,NOM
académique,0.87,0.61,ADJ
académiquement,0.01,0.14,ADV
académisme,0.00,0.27,NOM
acadien,0.01,0.00,ADJ
acadien,0.14,0.00,NOM
acadienne,0.03,0.00,NOM
acagnarder,0.00,0.14,VER
acajou,0.17,1.62,ADJ
acajou,0.52,5.81,NOM
acanthe,0.04,0.27,NOM
acariâtre,0.13,1.22,ADJ
accablant,0.37,1.42,ADJ
accablé,0.39,3.58,ADJ
accablement,0.21,3.58,NOM
accabler,0.65,3.58,VER
accalmie,0.46,2.97,NOM
accaparant,0.02,0.00,ADJ
accaparer,0.20,0.68,VER
accapareur,0.02,0.00,ADJ
accastillage,0.04,0.14,NOM
accéder,6.29,5.81,VER
accelerando,0.00,0.14,ADV
accélérant,0.21,0.00,ADJ
accélérateur,0.30,0.14,ADJ
accélérateur,2.16,3.38,NOM
accélération,1.46,2.64,NOM
accéléré,0.27,1.62,ADJ
accéléré,0.67,0.74,NOM
accélérer,4.41,2.91,VER
accent,12.98,38.31,NOM
accenteur,0.01,0.00,NOM
accentuation,0.06,0.14,NOM
accentué,0.01,0.81,ADJ
accentuer,0.67,2.03,VER
acceptable,3.27,3.51,ADJ
acceptant,0.04,0.14,NOM
acceptation,1.24,4.19,NOM
accepter,43.39,36.62,VER
acception,0.15,0.27,NOM
accès,29.53,23.78,NOM
accessibilité,0.03,0.00,NOM
accessible,1.49,4.12,ADJ
accession,0.16,1.22,NOM
accessit,0.02,0.07,NOM
accessoire,0.12,1.01,ADJ
accessoire,1.11,1.08,NOM
accessoirement,0.17,0.88,ADV
accessoiriser,0.07,0.00,VER
accessoiriste,0.51,0.00,NOM
accident,100.11,36.62,NOM
accidenté,0.16,0.54,ADJ
accidenté,0.28,0.34,NOM
accidentel,1.09,1.42,ADJ
accidentellement,3.39,0.81,ADV
accidenter,0.02,0.00,VER
acclamation,0.20,0.27,NOM
acclamer,0.20,1.01,VER
acclimatation,0.14,0.81,NOM
acclimatement,0.00,0.14,NOM
acclimater,0.45,1.08,VER
accointance,0.14,0.20,NOM
accolade,0.84,1.69,NOM
accolement,0.00,0.07,NOM
accoler,0.00,0.27,VER
accommodant,0.22,0.14,ADJ
accommodation,0.04,0.41,NOM
accommodement,0.11,0.61,NOM
accommoder,0.69,4.26,VER
accompagnant,0.01,0.27,ADJ
accompagnateur,0.40,0.27,NOM
accompagné,0.93,0.61,ADJ
accompagnement,0.61,2.50,NOM
accompagner,24.87,22.23,VER
accompli,0.02,0.20,NOM
accompli,1.41,5.27,ADJ
accomplir,9.31,22.23,VER
accomplissement,1.27,4.26,NOM
accord,761.77,124.66,NOM
accordailles,0.00,0.07,NOM
accordé,1.22,0.41,NOM
accordement,0.00,0.07,NOM
accordéon,3.02,4.80,NOM
accordéoniste,0.26,1.42,NOM
accorder,10.59,14.73,VER
accordeur,0.25,0.61,NOM
accordo,0.01,0.07,NOM
accore,0.00,0.14,ADJ
accort,0.01,0.20,ADJ
accostage,0.47,0.88,NOM
accostant,0.00,0.07,ADJ
accoster,0.67,1.35,VER
accotement,0.01,1.08,NOM
accoter,0.00,0.07,VER
accouchant,0.12,0.00,ADJ
accouchée,0.02,0.81,NOM
accouchement,5.47,3.24,NOM
accoucher,6.56,3.51,VER
accoucheur,0.06,0.47,NOM
accoudé,0.00,0.27,ADJ
accouder,0.01,1.42,VER
accoudoir,0.40,2.23,NOM
accouplement,0.72,1.69,NOM
accoupler,0.83,0.74,VER
accourir,0.57,2.84,VER
accoutré,0.02,0.14,ADJ
accoutrement,1.19,2.09,NOM
accoutumance,0.20,1.28,NOM
accoutumé,0.02,0.41,ADJ
accoutumer,0.33,1.08,VER
accréditation,0.19,0.00,NOM
accrédité,0.07,0.20,ADJ
accréditer,0.03,0.74,VER
accréditif,0.00,0.07,NOM
accrétion,0.03,0.00,NOM
accro,1.66,0.00,NOM
accro,6.22,0.61,ADJ
accroc,1.67,2.57,NOM
accrochage,1.44,0.88,NOM
accrochant,0.00,0.20,ADJ
accroche,0.45,0.20,NOM
accroché,0.90,1.55,ADJ
accrocher,10.46,14.32,VER
accrocheur,0.55,0.14,ADJ
accroire,0.02,0.54,VER
accroissement,0.41,1.28,NOM
accroître,1.46,3.99,VER
accroupi,0.16,3.24,ADJ
accroupir,0.09,2.70,VER
accroupissement,0.00,0.20,NOM
accru,0.24,0.68,ADJ
accrue,0.00,0.07,NOM
accueil,13.83,16.22,NOM
accueillant,1.21,1.82,ADJ
accueillir,14.39,13.99,VER
acculé,0.01,0.20,ADJ
acculer,0.13,0.88,VER
acculturation,0.01,0.00,NOM
accumulateur,0.03,0.07,NOM
accumulation,0.67,3.72,NOM
accumuler,0.85,3.72,VER
accusateur,0.20,0.81,ADJ
accusateur,0.25,0.41,NOM
accusatif,0.11,0.07,NOM
accusation,12.62,5.74,NOM
accusatoire,0.01,0.00,ADJ
accusé,1.37,1.01,ADJ
accusé,8.84,6.89,NOM
accuser,10.06,7.03,VER
acellulaire,0.03,0.00,ADJ
acéphale,0.00,0.14,ADJ
acéphale,0.00,0.14,NOM
acerbe,0.13,1.08,ADJ
acerbité,0.02,0.07,NOM
acéré,0.14,0.74,ADJ
acetabulum,0.01,0.00,NOM
acétate,0.20,0.14,NOM
acétique,0.05,0.07,ADJ
acétone,0.21,0.27,NOM
acétylcholine,0.25,0.00,NOM
acétylène,0.18,1.96,NOM
acétylsalicylique,0.03,0.00,ADJ
achalandage,0.00,0.07,NOM
achalandé,0.01,0.07,ADJ
achaler,0.01,0.00,VER
achards,0.03,0.00,NOM
acharné,0.59,2.23,ADJ
acharnement,0.60,8.11,NOM
acharner,0.35,1.62,VER
achat,5.20,10.95,NOM
achélème,0.00,0.95,NOM
acheminement,0.20,0.47,NOM
acheminer,0.55,1.22,VER
achetable,0.00,0.14,ADJ
acheter,115.27,57.09,VER
acheteur,3.89,2.97,NOM
achevé,0.59,2.84,ADJ
achèvement,0.52,1.76,NOM
achever,6.49,15.00,VER
achillée,0.01,0.00,NOM
achondroplasie,0.03,0.00,NOM
achoppement,0.01,0.14,NOM
achopper,0.01,0.00,VER
acide,1.86,6.89,ADJ
acide,8.44,3.85,NOM
acidité,0.27,0.81,NOM
acidocétose,0.08,0.00,NOM
acidose,0.22,0.00,NOM
acidulé,0.02,0.47,ADJ
acier,13.85,33.38,NOM
aciérie,0.67,0.14,NOM
acolyte,0.75,0.61,NOM
acompte,3.33,1.01,NOM
aconit,0.14,0.34,NOM
acoquiner,0.12,0.41,VER
acouphène,0.18,0.00,NOM
acoustique,0.49,0.74,ADJ
acoustique,0.55,0.34,NOM
acquéreur,0.23,0.88,NOM
acquérir,2.15,7.43,VER
acquêt,0.00,0.07,NOM
acquiescement,0.15,2.36,NOM
acquiescer,0.18,1.49,VER
acquis,0.29,1.69,NOM
acquis,0.81,2.23,ADJ
acquisition,1.35,2.84,NOM
acquit,0.29,2.16,NOM
acquitté,0.14,0.20,ADJ
acquitté,0.23,0.07,NOM
acquittement,0.60,0.34,NOM
acquitter,1.13,1.82,VER
âcrement,0.00,0.14,ADV
âcreté,0.11,0.95,NOM
acrimonie,0.06,0.81,NOM
acrimonieusement,0.00,0.07,ADV
acrimonieux,0.02,0.00,ADJ
acrobate,1.46,2.57,NOM
acrobatie,0.32,0.81,NOM
acrobatique,0.31,0.61,ADJ
acrobatiquement,0.01,0.07,ADV
acrocéphale,0.00,0.07,ADJ
acromion,0.01,0.14,NOM
acronyme,0.19,0.07,NOM
acrophobie,0.08,0.00,NOM
acropole,0.00,0.81,NOM
acrostiche,0.02,0.00,NOM
acrotère,0.00,0.07,NOM
acrylique,0.21,0.34,ADJ
acrylique,0.40,0.07,NOM
acrylonitrile,0.01,0.00,NOM
acteur,30.51,15.47,NOM
actif,0.84,1.49,NOM
actif,4.12,3.58,ADJ
actine,0.01,0.00,NOM
action,49.97,72.91,NOM
actionnaire,1.21,0.27,NOM
actionnariat,0.01,0.00,NOM
actionnement,0.01,0.07,NOM
actionner,0.43,1.22,VER
actionneur,0.01,0.00,NOM
activant,0.00,0.07,ADJ
activateur,0.10,0.00,NOM
activation,2.21,0.07,NOM
activé,0.94,0.07,ADJ
activement,1.18,3.51,ADV
activer,2.98,1.35,VER
activisme,0.15,0.20,NOM
activiste,0.19,0.07,ADJ
activiste,0.23,0.07,NOM
activité,13.05,25.81,NOM
actuaire,0.03,0.00,NOM
actualisation,0.03,0.07,NOM
actualiser,0.06,0.07,VER
actualité,1.79,5.68,NOM
actuariel,0.02,0.00,ADJ
actuation,0.01,0.00,NOM
actuel,4.69,6.49,ADJ
actuellement,11.39,16.69,ADV
acuité,0.56,3.18,NOM
acumen,0.00,0.07,NOM
acuponcteur,0.23,0.00,NOM
acuponcture,0.17,0.00,NOM
acupuncteur,0.11,0.07,NOM
acupuncture,0.79,0.41,NOM
adage,0.61,0.54,NOM
adagio,0.00,0.07,ADV
adagio,0.13,0.34,NOM
adamantin,0.00,0.14,ADJ
adamique,0.00,0.14,ADJ
adaptabilité,0.16,0.00,NOM
adaptable,0.07,0.07,ADJ
adaptateur,0.12,0.41,NOM
adaptatif,0.04,0.00,ADJ
adaptation,2.46,4.46,NOM
adapter,5.63,3.72,VER
addenda,0.07,0.00,NOM
addendum,0.01,0.07,NOM
addiction,0.41,0.07,NOM
additif,0.01,0.00,ADJ
additif,0.15,0.14,NOM
addition,8.24,7.36,NOM
additionnel,0.04,0.20,ADJ
additionner,0.33,0.41,VER
adducteur,0.01,0.00,NOM
adduction,0.04,0.14,NOM
adénine,0.01,0.00,NOM
adénocarcinome,0.04,0.00,NOM
adénome,0.05,0.07,NOM
adénopathie,0.01,0.00,NOM
adénosine,0.07,0.00,NOM
adénovirus,0.01,0.00,NOM
adent,0.01,0.00,NOM
adepte,0.88,0.88,NOM
adéquat,1.35,1.82,ADJ
adéquatement,0.03,0.00,ADV
adéquation,0.14,0.34,NOM
adhérence,0.06,0.14,NOM
adhérent,0.03,0.07,ADJ
adhérent,0.16,0.14,NOM
adhérer,0.82,1.82,VER
adhésif,0.70,0.14,NOM
adhésif,0.73,0.47,ADJ
adhésion,0.45,6.15,NOM
adieu,36.86,27.50,NOM
adipeux,0.11,0.95,ADJ
adipique,0.03,0.00,ADJ
adiposité,0.00,0.07,NOM
adjacent,0.16,0.14,ADJ
adjectif,0.01,0.07,ADJ
adjectif,0.28,1.96,NOM
adjoindre,0.05,0.68,VER
adjoint,5.97,1.89,ADJ
adjoint,6.54,4.05,NOM
adjonction,0.02,0.41,NOM
adjudant,16.49,21.15,NOM
adjudication,0.02,0.14,NOM
adjuger,0.03,0.00,VER
adjupète,0.00,0.07,NOM
adjuration,0.00,0.20,NOM
adjurer,0.00,0.47,VER
adjutrice,0.00,0.07,NOM
admettre,17.92,19.73,VER
administrant,0.00,0.07,ADJ
administrateur,4.05,3.78,NOM
administratif,0.06,0.20,NOM
administratif,1.34,2.97,ADJ
administration,13.24,23.85,NOM
administrativement,0.05,0.14,ADV
administré,0.02,0.14,ADJ
administré,0.20,0.14,NOM
administrer,1.12,2.84,VER
admirable,6.02,23.92,ADJ
admirablement,0.71,4.73,ADV
admirateur,0.03,0.20,ADJ
admirateur,2.63,1.28,NOM
admiratif,0.26,2.57,ADJ
admiration,4.54,32.30,NOM
admirativement,0.00,0.20,ADV
admirer,6.50,17.64,VER
admis,0.12,0.27,NOM
admis,0.77,1.42,ADJ
admissibilité,0.02,0.07,NOM
admissible,0.00,0.07,NOM
admissible,0.44,0.54,ADJ
admission,2.34,1.82,NOM
admixtion,0.00,0.07,NOM
admonestation,0.00,0.34,NOM
admonester,0.01,0.00,VER
admonition,0.01,0.14,NOM
adobe,0.08,0.00,NOM
adolescence,2.88,13.72,NOM
adolescent,1.27,3.24,ADJ
adolescent,2.38,9.66,NOM
adonc,0.00,0.07,ADV
adoncques,0.00,0.07,ADV
adonies,0.00,0.07,NOM
adonis,0.28,0.00,NOM
adonner,0.48,1.08,VER
adoptable,0.00,0.07,ADJ
adoptant,0.00,0.07,ADJ
adoptant,0.00,0.07,NOM
adopté,0.03,0.34,NOM
adopté,0.63,0.74,ADJ
adopter,7.25,9.19,VER
adoptif,2.15,1.96,ADJ
adoption,3.97,2.84,NOM
adorable,23.00,6.28,ADJ
adorablement,0.20,0.27,ADV
adorant,0.01,0.07,ADJ
adorateur,0.30,0.34,NOM
adoration,0.88,4.86,NOM
adorer,11.79,3.31,VER
adossé,0.03,0.07,ADJ
adosser,0.07,1.35,VER
adoubement,0.01,0.27,NOM
adouber,0.01,0.00,VER
adouci,0.02,0.27,ADJ
adoucir,1.56,3.58,VER
adoucissant,0.00,0.07,ADJ
adoucissant,0.06,0.00,NOM
adoucissement,0.01,0.54,NOM
adoucisseur,0.03,0.00,NOM
adrénaline,3.56,0.68,NOM
adressage,0.01,0.00,NOM
adresse,67.28,43.92,NOM
adresser,7.95,17.91,VER
adret,0.00,0.07,NOM
adriatique,0.14,0.07,ADJ
adroit,1.13,3.51,ADJ
adroitement,0.85,1.96,ADV
adulateur,0.00,0.07,ADJ
adulateur,0.10,0.07,NOM
adulation,0.16,0.61,NOM
aduler,0.06,0.07,VER
adultat,0.00,0.14,NOM
adulte,8.02,8.18,ADJ
adulte,9.78,10.41,NOM
adultération,0.00,0.07,NOM
adultère,1.81,1.08,ADJ
adultère,3.54,3.18,NOM
adultérin,0.01,0.00,ADJ
advenir,1.03,1.15,VER
adventiste,0.08,0.00,ADJ
adventiste,0.27,0.00,NOM
adverbe,0.09,0.27,NOM
adversaire,7.61,15.95,NOM
adverse,1.83,2.50,ADJ
adversité,1.27,2.09,NOM
aérage,0.06,0.00,NOM
aérateur,0.01,0.00,NOM
aération,2.00,1.35,NOM
aérer,1.68,2.03,VER
aérien,0.04,0.34,NOM
aérien,4.84,6.08,ADJ
aérobic,1.20,0.07,NOM
aérodrome,1.92,3.31,NOM
aérodynamique,0.20,0.07,NOM
aérodynamique,0.45,0.20,ADJ
aérodynamisme,0.02,0.07,NOM
aérofrein,0.01,0.00,NOM
aérogare,0.11,2.16,NOM
aéroglisseur,0.73,0.00,NOM
aérographe,0.04,0.07,NOM
aérolithe,0.00,0.34,NOM
aérologie,0.01,0.00,NOM
aéromobile,0.06,0.00,ADJ
aéromodélisme,0.00,0.14,NOM
aéronaute,0.01,0.00,NOM
aéronautique,0.23,0.07,ADJ
aéronautique,0.45,0.41,NOM
aéronaval,0.10,0.00,ADJ
aéronavale,0.48,0.20,NOM
aéronef,0.03,0.07,NOM
aéropathie,0.01,0.00,NOM
aérophagie,0.15,0.14,NOM
aéroplane,0.16,1.15,NOM
aéroport,31.44,7.91,NOM
aéroporté,0.10,0.07,ADJ
aéropostale,0.01,0.00,NOM
aérosol,0.44,0.47,NOM
aérospatial,0.07,0.00,ADJ
aérospatiale,0.12,0.00,NOM
aérostat,0.16,0.00,NOM
aérostier,0.00,0.14,NOM
affabilité,0.13,1.22,NOM
affable,0.37,3.11,ADJ
affablement,0.00,0.20,ADV
affabulation,0.20,1.01,NOM
affabuler,0.00,0.07,VER
affacturage,0.01,0.00,NOM
affadir,0.00,0.14,VER
affadissement,0.00,0.20,NOM
affaibli,0.17,1.22,ADJ
affaiblir,1.13,1.35,VER
affaiblissant,0.03,0.00,ADJ
affaiblissement,0.23,1.49,NOM
affaire,207.50,150.54,NOM
affairé,0.02,0.34,NOM
affairé,0.04,1.01,ADJ
affairement,0.00,0.34,NOM
affairer,0.28,1.42,VER
affairisme,0.00,0.07,NOM
affairiste,0.00,0.07,NOM
affairiste,0.01,0.14,ADJ
affaissement,0.07,1.35,NOM
affaisser,0.03,0.88,VER
affalement,0.01,0.14,NOM
affaler,0.27,1.89,VER
affamé,1.42,1.01,NOM
affamé,2.43,1.55,ADJ
affamer,0.33,0.14,VER
affect,0.26,0.00,NOM
affectation,2.65,5.00,NOM
affecté,0.73,1.28,ADJ
affecter,2.35,2.23,VER
affectif,0.94,1.28,ADJ
affection,12.68,29.53,NOM
affectionné,0.01,0.07,ADJ
affectionner,0.00,0.20,VER
affectivement,0.30,0.20,ADV
affectivité,0.01,0.41,NOM
affectueusement,1.11,3.38,ADV
affectueux,3.56,7.97,ADJ
afférent,0.04,0.00,ADJ
affermir,0.02,1.69,VER
affermissement,0.00,0.14,NOM
afféterie,0.00,0.20,NOM
affichage,1.29,1.42,NOM
affichant,0.00,0.07,ADJ
affiche,5.38,8.38,NOM
afficher,2.06,3.78,VER
affichette,0.19,1.08,NOM
afficheur,0.01,0.27,NOM
affichiste,0.00,0.14,NOM
affidavit,0.06,0.00,NOM
affidé,0.01,0.14,NOM
affilé,0.17,0.07,ADJ
affiler,0.03,0.00,VER
affiliation,0.26,0.14,NOM
affilié,0.03,0.00,NOM
affilié,0.09,0.14,ADJ
affilier,0.01,0.27,VER
affin,0.02,0.00,ADJ
affinage,0.00,0.07,NOM
affiné,0.12,0.20,ADJ
affinement,0.01,0.20,NOM
affiner,0.43,0.68,VER
affinité,0.60,2.16,NOM
affirmatif,4.82,1.35,ADJ
affirmation,1.27,4.66,NOM
affirmative,0.16,0.61,NOM
affirmativement,0.00,0.74,ADV
affirmer,4.26,13.58,VER
affixé,0.00,0.07,ADJ
affleurant,0.00,0.14,ADJ
affleurement,0.03,0.47,NOM
affleurer,0.00,1.08,VER
affliction,1.09,2.50,NOM
affligé,0.60,0.95,ADJ
affligeant,0.38,0.54,ADJ
affliger,0.38,0.20,VER
affluence,0.51,2.64,NOM
affluent,0.05,0.54,NOM
affluent,0.16,0.20,ADJ
affluer,0.21,1.35,VER
afflux,0.25,2.30,NOM
affolant,0.10,1.35,ADJ
affolé,0.19,4.19,ADJ
affolement,0.89,5.34,NOM
affoler,1.00,2.50,VER
affouage,0.00,0.07,NOM
affouillement,0.00,0.07,NOM
affranchi,0.21,0.88,ADJ
affranchi,0.46,0.61,NOM
affranchir,0.55,5.20,VER
affranchissement,0.05,0.47,NOM
affrètement,0.03,0.00,NOM
affréter,0.28,0.27,VER
affréteur,0.02,0.07,NOM
affreusement,3.13,5.61,ADV
affreux,2.79,3.78,NOM
affreux,25.34,22.23,ADJ
affriander,0.00,0.07,VER
affriolant,0.12,0.14,ADJ
affrioler,0.00,0.07,VER
affront,3.11,2.77,NOM
affrontement,1.72,2.43,NOM
affronter,19.57,13.38,VER
affublé,0.01,0.20,ADJ
affublement,0.00,0.14,NOM
affubler,0.14,0.68,VER
affurer,0.00,0.41,VER
affût,1.36,10.81,NOM
affûtage,0.04,0.14,NOM
affûter,0.20,0.74,VER
affûteur,0.01,0.07,NOM
afghan,0.23,0.14,NOM
afghan,0.68,0.34,ADJ
aficionado,0.04,0.20,NOM
africain,0.56,1.42,NOM
africain,2.34,3.65,ADJ
africanisme,0.10,0.00,NOM
afrikaans,0.01,0.00,ADJ
afrikaans,0.05,0.00,NOM
afrikaner,0.05,0.00,NOM
agaçant,1.45,2.50,ADJ
agace,0.03,0.41,NOM
agacement,0.21,7.30,NOM
agacer,1.19,2.77,VER
agacerie,0.00,0.07,NOM
agaceur,0.00,0.07,NOM
agami,0.00,0.07,NOM
agapanthe,0.01,0.00,NOM
agape,0.00,0.07,NOM
agate,0.01,0.61,NOM
agathe,0.00,0.14,NOM
agave,0.00,0.07,NOM
agence,20.38,14.12,NOM
agencement,0.19,1.69,NOM
agencer,0.02,0.61,VER
agenda,5.69,5.41,NOM
agenouillé,0.13,0.54,ADJ
agenouillement,0.27,0.27,NOM
agenouiller,1.64,3.72,VER
agent,92.42,22.50,NOM
aggiornamento,0.04,0.07,NOM
agglo,0.00,0.07,NOM
agglomérat,0.00,0.47,NOM
agglomération,0.10,1.62,NOM
aggloméré,0.00,0.07,ADJ
aggloméré,0.06,0.27,NOM
agglomérer,0.00,0.20,VER
agglutinatif,0.00,0.07,ADJ
agglutination,0.01,0.14,NOM
agglutinement,0.00,0.07,NOM
agglutiner,0.02,0.27,VER
agglutinogène,0.00,0.07,NOM
aggravation,0.45,0.74,NOM
aggrave,0.01,0.00,NOM
aggravée,0.01,0.07,NOM
aggraver,2.32,2.43,VER
agile,1.69,3.31,ADJ
agilité,1.00,3.31,NOM
agioteur,0.01,0.07,NOM
âgisme,0.02,0.00,NOM
agissant,0.05,0.14,ADJ
agissement,0.16,0.14,NOM
agitant,0.01,0.14,ADJ
agitateur,0.86,0.68,NOM
agitation,4.46,20.07,NOM
agitato,0.17,0.07,ADV
agité,0.20,0.88,NOM
agité,2.90,3.38,ADJ
agiter,2.72,11.89,VER
aglagla,0.00,0.07,ADV
agnat,0.03,0.07,NOM
agneau,13.01,5.95,NOM
agnelage,0.00,0.07,NOM
agnelet,0.11,0.07,NOM
agneline,0.00,0.07,NOM
agnosie,0.02,0.00,NOM
agnostique,0.02,0.07,NOM
agnostique,0.08,0.41,ADJ
agonie,4.44,13.38,NOM
agonique,0.00,0.07,NOM
agonique,0.01,0.00,ADJ
agonir,0.01,0.61,VER
agonisant,0.04,1.62,NOM
agonisant,0.41,1.08,ADJ
agoniser,0.10,1.01,VER
agoniste,0.00,0.07,ADJ
agora,0.03,0.68,NOM
agoraphobe,0.01,0.00,NOM
agoraphobe,0.07,0.00,ADJ
agoraphobie,0.23,0.07,NOM
agouti,0.01,0.34,NOM
agoyate,0.00,0.27,NOM
